name,pro,flag,optical_pro,original_pro
movie-scenes-15,0.003446930945443853,1,0.005402191372505176,0.0014916705183825303
movie-scenes-3,0.03953019101623245,1,0.062347749066552584,0.016712632965912314
movie-scenes-5,0.6854935640239952,1,0.37101715524244705,0.9999699728055433
movie-scenes-6,0.09504093213061604,1,0.051522146531849174,0.13855971772938291
multiple-character-voices-11,0.02183784275088891,1,0.04367394220451548,1.7432972623410147e-06
multiple-character-voices-16,0.721401734637356,1,0.46323385102932335,0.9795696182453886
multiple-character-voices-17,0.20973277068909826,1,0.3573062681247532,0.062159273253443344
multiple-character-voices-18,0.026338529663992808,1,0.002326372111043347,0.05035068721694227
multiple-character-voices-19,0.05106824940690099,1,0.10108450868032749,0.0010519901334744824
multiple-character-voices-2,0.020816434348366702,1,0.041632571190579275,2.9750615413154024e-07
multiple-character-voices-3,0.003244483559071114,1,0.006189200193771731,0.00029976692437049657
multiple-character-voices-4,0.1469981509180669,1,0.2722208089589659,0.02177549287716792
multiple-character-voices-5,0.007881409731316883,1,0.013384200544407336,0.0023786189182264305
multiple-character-voices-7,0.04834350177881563,1,0.08351403768625262,0.013172965871378632
multiple-character-voices-9,0.3406634848020503,1,0.15559244854188817,0.5257345210622124
owl-and-badger,0.42637464382111645,1,0.03537044482314692,0.817378842819086
paper-boat,0.07557973873908201,1,0.15014384224314453,0.0010156352350195023
sailor-and-the-sea,0.1058945431834079,1,0.04733196130774283,0.16445712505907295
sfx-and-audio-12,0.010943542930713195,1,0.020236812842402363,0.0016502730190240255
sfx-and-audio-14,0.0426802369605539,1,0.06004193879812538,0.02531853512298242
sfx-and-audio-15,0.11952924021849928,1,0.091282762088875,0.14777571834812359
sfx-and-audio-16,0.021398080893296253,1,0.04279359703872638,2.5647478661275924e-06
sfx-and-audio-17,0.04836198799157431,1,0.08723212006327143,0.0094918559198772
sfx-and-audio-18,0.4096808554759882,1,0.19527411993168375,0.6240875910202927
sfx-and-audio-20,0.0011805089124285106,1,0.00236101781381689,1.1040130918175101e-11
sfx-and-audio-22,0.018057526299453033,1,0.027938722456133904,0.008176330142772161
sfx-and-audio-24,0.04057693204898297,1,0.08114769246705639,6.171630909545461e-06
sfx-and-audio-25,0.22285152480429385,1,0.203286211338367,0.2424168382702207
sfx-and-audio-4,0.11108814218972515,1,0.2221215547129216,5.472966652870009e-05
sfx-and-audio-7,0.08821640204392125,1,0.17643229132103536,5.127668071612077e-07
sfx-and-audio-9,4.808604666122407e-05,1,9.617194784086156e-05,1.4548158659343532e-10
simulation-1,0.03627095367186858,1,0.05663125619111694,0.01591065115262023
simulation-10,0.14850413219893766,1,0.18283253717446601,0.11417572722340932
simulation-11,0.029908971383249265,1,0.047053336508451594,0.012764606258046938
simulation-2,0.06284513421499444,1,0.11963409583531913,0.006056172594669754
simulation-3,0.6045743908977088,1,0.7308315360019589,0.47831724579345875
simulation-6,0.08385328239390437,1,0.09439382490038552,0.07331273988742322
simulation-7,0.004199629351335233,1,0.008365778344027167,3.348035864329896e-05
